Date,Close
01-12-2003,45.709999
02-12-2003,45.629002
03-12-2003,45.549999
04-12-2003,45.548
05-12-2003,45.449001
08-12-2003,45.470001
09-12-2003,45.431
10-12-2003,45.370998
11-12-2003,45.449001
12-12-2003,45.422001
15-12-2003,45.467999
16-12-2003,45.467999
17-12-2003,45.389
18-12-2003,45.426998
19-12-2003,45.422001
22-12-2003,45.452
23-12-2003,45.389
24-12-2003,45.442001
25-12-2003,45.445
26-12-2003,45.441002
29-12-2003,45.549
30-12-2003,45.499001
31-12-2003,45.529999
01-01-2004,45.527
02-01-2004,45.603001
05-01-2004,45.466
06-01-2004,45.549
07-01-2004,45.387001
08-01-2004,45.467999
09-01-2004,45.351002
12-01-2004,45.344002
13-01-2004,45.313
14-01-2004,45.327999
15-01-2004,45.348999
16-01-2004,45.325001
19-01-2004,45.331001
20-01-2004,45.327999
21-01-2004,45.306999
22-01-2004,45.320999
23-01-2004,45.243999
26-01-2004,45.227001
27-01-2004,45.271
28-01-2004,45.252998
29-01-2004,45.271
30-01-2004,45.004002
02-02-2004,45.174999
03-02-2004,45.208
04-02-2004,45.209
05-02-2004,45.206001
06-02-2004,45.167999
09-02-2004,45.192001
10-02-2004,45.183998
11-02-2004,45.188
12-02-2004,45.200001
13-02-2004,45.362
16-02-2004,45.181999
17-02-2004,45.200001
18-02-2004,45.169998
19-02-2004,45.194
20-02-2004,45.171001
23-02-2004,45.172001
24-02-2004,45.212002
25-02-2004,45.186001
26-02-2004,45.167999
27-02-2004,45.195999
01-03-2004,45.173
02-03-2004,45.179001
03-03-2004,45.150002
04-03-2004,45.229
05-03-2004,45.189999
08-03-2004,45.18
09-03-2004,45.129002
10-03-2004,45.109001
11-03-2004,45.183998
12-03-2004,45.171001
15-03-2004,45.169998
16-03-2004,45.148998
17-03-2004,45.171001
18-03-2004,45.150002
19-03-2004,45.09
22-03-2004,45.071999
23-03-2004,44.810001
24-03-2004,44.655998
25-03-2004,44.659
26-03-2004,44.498001
29-03-2004,43.98
30-03-2004,43.813
31-03-2004,43.334
01-04-2004,43.373001
02-04-2004,43.700001
05-04-2004,43.568001
06-04-2004,43.627998
07-04-2004,43.381001
08-04-2004,43.525002
09-04-2004,43.522999
12-04-2004,43.522999
13-04-2004,43.634998
14-04-2004,43.667999
15-04-2004,43.807999
16-04-2004,43.729
19-04-2004,43.790001
20-04-2004,43.868
21-04-2004,43.981998
22-04-2004,43.938999
23-04-2004,44.109001
26-04-2004,44.008999
27-04-2004,44.071999
28-04-2004,44.105999
29-04-2004,44.319
30-04-2004,44.284
03-05-2004,44.292
04-05-2004,44.769001
05-05-2004,44.562
06-05-2004,44.59
07-05-2004,44.530998
10-05-2004,44.972
11-05-2004,45.169998
12-05-2004,45.312
13-05-2004,45.16
14-05-2004,45.380001
17-05-2004,45.431
18-05-2004,45.348
19-05-2004,45.077999
20-05-2004,45.113998
21-05-2004,45.191002
24-05-2004,45.182999
25-05-2004,45.271999
26-05-2004,45.265999
27-05-2004,45.292
28-05-2004,45.291
31-05-2004,45.290001
01-06-2004,45.370998
02-06-2004,45.348999
03-06-2004,45.105
04-06-2004,45.050999
07-06-2004,44.932999
08-06-2004,44.925999
09-06-2004,44.827
10-06-2004,44.988998
11-06-2004,45.067001
14-06-2004,45.250999
15-06-2004,45.264999
16-06-2004,45.326
17-06-2004,45.428001
18-06-2004,45.507999
21-06-2004,45.768002
22-06-2004,46.067001
23-06-2004,45.542999
24-06-2004,45.75
25-06-2004,45.683998
28-06-2004,45.742001
29-06-2004,45.908001
30-06-2004,45.888
01-07-2004,45.785999
02-07-2004,45.591
05-07-2004,45.693001
06-07-2004,45.889999
07-07-2004,45.728001
08-07-2004,45.652
09-07-2004,45.608002
12-07-2004,45.587002
13-07-2004,45.752998
14-07-2004,45.868999
15-07-2004,46.029999
16-07-2004,46.088001
19-07-2004,45.991001
20-07-2004,45.91
21-07-2004,46.007
22-07-2004,46.106998
23-07-2004,46.117001
26-07-2004,46.191002
27-07-2004,46.111
28-07-2004,46.266998
29-07-2004,46.311001
30-07-2004,46.250999
02-08-2004,46.229
03-08-2004,46.210999
04-08-2004,46.305
05-08-2004,46.27
06-08-2004,46.188999
09-08-2004,46.299999
10-08-2004,46.231998
11-08-2004,46.210999
12-08-2004,46.189999
13-08-2004,46.229
16-08-2004,46.231998
17-08-2004,46.240002
18-08-2004,46.257
19-08-2004,46.27
20-08-2004,46.209
23-08-2004,46.150002
24-08-2004,46.205002
25-08-2004,46.244999
26-08-2004,46.272999
27-08-2004,46.229
30-08-2004,46.229
31-08-2004,46.273998
01-09-2004,46.245998
02-09-2004,46.249001
03-09-2004,46.23
06-09-2004,46.247002
07-09-2004,46.285999
08-09-2004,46.243999
09-09-2004,46.226002
10-09-2004,46.126999
13-09-2004,46.129002
14-09-2004,45.764999
15-09-2004,45.750999
16-09-2004,45.868999
17-09-2004,45.787998
20-09-2004,45.849998
21-09-2004,45.771
22-09-2004,45.709999
23-09-2004,45.748001
24-09-2004,45.848999
27-09-2004,45.801998
28-09-2004,45.941002
29-09-2004,45.847
30-09-2004,45.808998
01-10-2004,45.958
04-10-2004,45.75
05-10-2004,45.765999
06-10-2004,45.748001
07-10-2004,45.748001
08-10-2004,45.646
11-10-2004,45.645
12-10-2004,45.772999
13-10-2004,45.766998
14-10-2004,45.798
15-10-2004,45.751999
18-10-2004,45.75
19-10-2004,45.678001
20-10-2004,45.687
21-10-2004,45.651001
22-10-2004,45.610001
25-10-2004,45.487999
26-10-2004,45.570999
27-10-2004,45.561001
28-10-2004,45.561001
29-10-2004,45.310001
01-11-2004,45.323002
02-11-2004,45.390999
03-11-2004,45.233002
04-11-2004,45.073002
05-11-2004,44.949001
08-11-2004,45.101002
09-11-2004,45.077
10-11-2004,45.057999
11-11-2004,45.074001
12-11-2004,45.029999
15-11-2004,44.972
16-11-2004,44.990002
17-11-2004,44.855999
18-11-2004,44.950001
19-11-2004,44.939999
22-11-2004,44.921001
23-11-2004,44.956001
24-11-2004,44.963001
25-11-2004,44.903999
26-11-2004,44.891998
29-11-2004,44.715
30-11-2004,44.433998
01-12-2004,44.23
02-12-2004,43.949001
03-12-2004,43.991001
06-12-2004,43.610001
07-12-2004,43.591
08-12-2004,43.764999
09-12-2004,44.051998
10-12-2004,44.569
13-12-2004,44.032001
14-12-2004,43.991001
15-12-2004,43.931
16-12-2004,43.687
17-12-2004,43.900002
20-12-2004,43.771
21-12-2004,43.650002
22-12-2004,43.77
23-12-2004,43.591
24-12-2004,43.547001
27-12-2004,43.612999
28-12-2004,43.630001
29-12-2004,43.529999
30-12-2004,43.657001
31-12-2004,43.307999
03-01-2005,43.416
04-01-2005,43.491001
05-01-2005,43.589001
06-01-2005,43.827999
07-01-2005,43.832001
10-01-2005,43.792999
11-01-2005,43.528999
12-01-2005,43.530998
13-01-2005,43.573002
14-01-2005,43.511002
17-01-2005,43.5
18-01-2005,43.68
19-01-2005,43.52
20-01-2005,43.68
21-01-2005,43.500999
24-01-2005,43.580002
25-01-2005,43.66
26-01-2005,43.66
27-01-2005,43.68
28-01-2005,43.603001
31-01-2005,43.66
01-02-2005,43.599998
02-02-2005,43.240002
03-02-2005,43.299999
04-02-2005,43.289001
07-02-2005,43.360001
08-02-2005,43.619999
09-02-2005,43.639999
10-02-2005,43.639999
11-02-2005,43.68
14-02-2005,43.700001
15-02-2005,43.740002
16-02-2005,43.639999
17-02-2005,43.619999
18-02-2005,43.650002
21-02-2005,43.720001
22-02-2005,43.580002
23-02-2005,43.66
24-02-2005,43.599998
25-02-2005,43.589001
28-02-2005,43.560001
01-03-2005,43.639999
02-03-2005,43.639999
03-03-2005,43.580002
04-03-2005,43.567001
07-03-2005,43.584999
08-03-2005,43.560001
09-03-2005,43.580002
10-03-2005,43.5
11-03-2005,43.409
14-03-2005,43.459999
15-03-2005,43.48
16-03-2005,43.549999
17-03-2005,43.549999
18-03-2005,43.549999
21-03-2005,43.549999
22-03-2005,43.650002
23-03-2005,43.66
24-03-2005,43.639999
25-03-2005,43.619999
28-03-2005,43.650002
29-03-2005,43.650002
30-03-2005,43.75
31-03-2005,43.610001
01-04-2005,43.490002
04-04-2005,43.650002
05-04-2005,43.650002
06-04-2005,43.68
07-04-2005,43.619999
08-04-2005,43.651001
11-04-2005,43.641998
12-04-2005,43.619999
13-04-2005,43.68
14-04-2005,43.599998
15-04-2005,43.698002
18-04-2005,43.619999
19-04-2005,43.68
20-04-2005,43.580002
21-04-2005,43.68
22-04-2005,43.610001
25-04-2005,43.630001
